Method,Group,Score,Delta_Baseline,Verdict,Hypothesis
action_diversity,D,0.6,0.0,NEUTRAL,If diversity filtering helps: degenerate plans corrupt training
advantage_clip,B,0.525,-0.075,NEUTRAL,If clipping helps: large advantage magnitudes destabilise training
attention_only,C,0.525,-0.075,NEUTRAL,"If attention-only works: model needs routing updates, not feature updates"
baseline_rl,Baseline,0.6,0.0,NEUTRAL,Diagnoses whether the RL signal alone causes collapse
bc_wins,B,0.575,-0.025,NEUTRAL,If BC on wins helps: the return weighting is the specific cause
entropy_bonus,B,0.45,-0.15,COLLAPSE,If entropy bonus helps: collapse is mode-collapse; not a gradient problem
ewc,A,0.65,0.05,NEUTRAL,If EWC helps: forgetting pretrained representations is the proximate cause
ffn_only,C,0.65,0.05,IMPROVEMENT,If FFN-only works: stored knowledge (FFN as memory) needs updating; not attention
frozen_backbone,C,0.425,-0.175,COLLAPSE,If frozen backbone helps: deep gradient flow into backbone causes collapse
head_only,C,0.575,-0.025,NEUTRAL,If head-only works: backbone representations are fine; only decision boundary needs updating
kl_penalty,A,0.6125,0.0125,NEUTRAL,If this helps: catastrophic forgetting is the primary cause; soft regularisation suffices
layer_ablation_top1,C,0.6,0.0,NEUTRAL,Minimal unfrozen depth needed; collapse depth correlates with gradient flow depth
layer_ablation_top2,C,0.525,-0.075,NEUTRAL,Minimal unfrozen depth needed; collapse depth correlates with gradient flow depth
layer_ablation_top3,C,0.625,0.025,NEUTRAL,Minimal unfrozen depth needed; collapse depth correlates with gradient flow depth
llrd,A,0.625,0.025,NEUTRAL,If LLRD helps: deep gradient flow into early layers corrupts representations
lora,A,0.6,0.0,NEUTRAL,If LoRA works: too many unconstrained degrees of freedom cause collapse
low_t,B,0.6,0.0,NEUTRAL,If low-t helps: high-t (coarse-structure) gradients are biased
mixed_replay,A,0.625,0.025,NEUTRAL,If mixed replay helps: online data distribution alone is too corrupted
normalized_adv,B,0.125,-0.475,COLLAPSE,If std normalisation helps: simple mean normalisation is too loose
reward_filtering,D,0.6,0.0,NEUTRAL,If filtering helps: noisy/low-return data poisons gradients
reward_model,D,0.475,-0.125,COLLAPSE,If reward model helps: raw returns are too sparse; learned model smooths signal
running_stats,D,0.625,0.025,NEUTRAL,If running stats help: batch normalisation is too noisy for small batches
t_curriculum,B,0.625,0.025,NEUTRAL,If curriculum helps: ordering of learning signals matters
trust_region_kl,A,0.575,-0.025,NEUTRAL,If hard constraint helps: soft KL is insufficient -- a hard boundary is needed
